 16%|█████████████████████████▊                                                                                                                                        | 319/2000 [11:29<59:53,  2.14s/it]
Epoch 870, Loss: 21.2694, Recon Loss: 9.7471, KLD Loss: 11.5223, Val Loss: 28.7992
Epoch 880, Loss: 22.7612, Recon Loss: 11.3996, KLD Loss: 11.3616, Val Loss: 28.4164
Epoch 890, Loss: 21.5337, Recon Loss: 10.0234, KLD Loss: 11.5103, Val Loss: 28.5968
Epoch 900, Loss: 22.2662, Recon Loss: 10.9106, KLD Loss: 11.3556, Val Loss: 27.9384
Epoch 910, Loss: 35.1720, Recon Loss: 23.6985, KLD Loss: 11.4735, Val Loss: 38.6429
Epoch 920, Loss: 31.0678, Recon Loss: 19.3144, KLD Loss: 11.7534, Val Loss: 30.8323
Epoch 930, Loss: 22.3222, Recon Loss: 10.9714, KLD Loss: 11.3508, Val Loss: 30.4218
Epoch 940, Loss: 22.0026, Recon Loss: 10.6623, KLD Loss: 11.3402, Val Loss: 28.8475
Epoch 950, Loss: 24.5954, Recon Loss: 13.2536, KLD Loss: 11.3418, Val Loss: 28.7802
Epoch 960, Loss: 21.2168, Recon Loss: 10.1459, KLD Loss: 11.0709, Val Loss: 30.1134
Epoch 970, Loss: 21.3542, Recon Loss: 10.0300, KLD Loss: 11.3242, Val Loss: 28.4232
Epoch 980, Loss: 21.2392, Recon Loss: 10.0184, KLD Loss: 11.2208, Val Loss: 28.5271
Epoch 990, Loss: 21.6353, Recon Loss: 10.2652, KLD Loss: 11.3701, Val Loss: 27.5015
Epoch 1000, Loss: 33.2794, Recon Loss: 21.6791, KLD Loss: 11.6003, Val Loss: 38.1615
Epoch 1010, Loss: 21.6243, Recon Loss: 10.4983, KLD Loss: 11.1260, Val Loss: 28.8511
Epoch 1020, Loss: 20.9489, Recon Loss: 9.6998, KLD Loss: 11.2490, Val Loss: 28.6135
Epoch 1030, Loss: 20.9088, Recon Loss: 9.7575, KLD Loss: 11.1513, Val Loss: 29.2697
Epoch 1040, Loss: 20.9388, Recon Loss: 9.8499, KLD Loss: 11.0888, Val Loss: 28.1565
Epoch 1050, Loss: 20.3375, Recon Loss: 9.3529, KLD Loss: 10.9846, Val Loss: 28.4428
Epoch 1060, Loss: 21.2770, Recon Loss: 9.7779, KLD Loss: 11.4991, Val Loss: 28.3651
Epoch 1070, Loss: 20.4999, Recon Loss: 9.3349, KLD Loss: 11.1649, Val Loss: 27.3096
Epoch 1080, Loss: 20.4900, Recon Loss: 9.3971, KLD Loss: 11.0928, Val Loss: 28.5577
