 16%|████████████████████████▊                                                                                                                                       | 310/2000 [46:01<4:08:12,  8.81s/it]
Epoch 1021, Loss: 0.8804156529275995, MSE Loss: 0.8804141565373069, KLD Loss: 1.4901161193847656e-06
Epoch 1031, Loss: 0.8791239042031137, MSE Loss: 0.8791224517320332, KLD Loss: 1.4556081671463817e-06
Epoch 1041, Loss: 0.8790167350518076, MSE Loss: 0.879015326499939, KLD Loss: 1.4054147820723683e-06
Epoch 1051, Loss: 0.8800092872820402, MSE Loss: 0.8800079163752104, KLD Loss: 1.377181002968236e-06
Epoch 1061, Loss: 0.880584368580266, MSE Loss: 0.8805830698264273, KLD Loss: 1.2987538387900905e-06
Epoch 1071, Loss: 0.8791491357903731, MSE Loss: 0.8791477366497642, KLD Loss: 1.394434979087428e-06
Epoch 1081, Loss: 0.8803537299758509, MSE Loss: 0.8803524563187047, KLD Loss: 1.2799313193873355e-06
Epoch 1091, Loss: 0.878754176591572, MSE Loss: 0.8787529844986764, KLD Loss: 1.1889558089406866e-06
Epoch 1101, Loss: 0.8796302142896151, MSE Loss: 0.8796289061245165, KLD Loss: 1.3034594686407792e-06
Epoch 1111, Loss: 0.879891596342388, MSE Loss: 0.879890081129576, KLD Loss: 1.519918441772461e-06
Epoch 1121, Loss: 0.8787528903860795, MSE Loss: 0.8787514347779123, KLD Loss: 1.4603137969970703e-06
Epoch 1131, Loss: 0.8792464889978108, MSE Loss: 0.8792450396638167, KLD Loss: 1.447765450728567e-06
Epoch 1141, Loss: 0.8805811342440153, MSE Loss: 0.8805798668610422, KLD Loss: 1.272088602969521e-06
Epoch 1151, Loss: 0.8791486432677821, MSE Loss: 0.8791473790218955, KLD Loss: 1.2611087999845806e-06
Epoch 1161, Loss: 0.8793278901200545, MSE Loss: 0.8793265129390516, KLD Loss: 1.380318089535362e-06
Epoch 1171, Loss: 0.8790938885588395, MSE Loss: 0.8790925364745291, KLD Loss: 1.3567899402819182e-06
Epoch 1181, Loss: 0.8803620589406866, MSE Loss: 0.8803607194047225, KLD Loss: 1.341104507446289e-06
Epoch 1191, Loss: 0.87968615481728, MSE Loss: 0.8796847368541517, KLD Loss: 1.4211002149079975e-06
Epoch 1201, Loss: 0.8790178644029718, MSE Loss: 0.8790165593749598, KLD Loss: 1.306596555207905e-06
Epoch 1211, Loss: 0.8789582001535516, MSE Loss: 0.8789568292467218, KLD Loss: 1.3693382865504214e-06
Epoch 1221, Loss: 0.8780554156554373, MSE Loss: 0.8780540980790791, KLD Loss: 1.3191449014764083e-06
Epoch 1231, Loss: 0.8796688537848624, MSE Loss: 0.8796677307078713, KLD Loss: 1.129351164165296e-06
Epoch 1241, Loss: 0.8787045855271188, MSE Loss: 0.8787033338295785, KLD Loss: 1.254834626850329e-06
Epoch 1251, Loss: 0.8784992820338199, MSE Loss: 0.8784981620939154, KLD Loss: 1.1199399044639187e-06
Epoch 1261, Loss: 0.8805510715434426, MSE Loss: 0.8805498449425948, KLD Loss: 1.2313064775968853e-06
Epoch 1271, Loss: 0.8793247655818337, MSE Loss: 0.8793235860372844, KLD Loss: 1.1795445492393093e-06
