Physics,Sections,CFG,mse,var_diff,FID
nophys,seccos10,5,1145051909.35,28.31214680375941,96.89786027513546
cosinesched,seccos30,3,2077195040.2,49.28239974275529,104.61618100476004
cosinesched,sec25,8,4771551304.75,41.43664109639817,103.5956922686079
nophys,seccos25,6,1457516770.35,72.97376785292741,101.03322466982492
cosinesched,sec10,2,5029188585.6,68.89971484812013,108.61636511626745
nophys,seccos20,2,70871356.525,49.322760388218526,104.60879129782116
nophys,seccos20,7,1195427653.46875,78.62858267710773,103.69415838270166
cosinesched,sec10,8,6606069561.725,73.59726938518517,114.90050546496408
nophys,sec30,7,1129983380.70625,78.87049271982508,111.23491282797691
cosinesched,seccos30,1,2130470067.2,48.754451808719445,101.96860220303674
cosinesched,seccos15,6,3775587596.55,42.079688332039055,100.231080688795
nophys,sec25,2,189764064.64453125,48.70755106692226,106.32241630496276
nophys,sec25,4,1617696684.95,42.15317894388759,100.24015351996395
cosinesched,sec20,3,2403361952.4,60.639274685802434,102.11114883237089
nophys,seccos20,6,1283300180.725,67.7038065128053,97.75331502760528
nophys,sec25,7,3203183714.3875,48.09701122038218,101.69607045491152
nophys,sec30,4,372485650.425,51.196749927790414,108.25980964341504
nophys,sec30,8,1072025551.15,86.6913737138899,114.950664316139
cosinesched,sec10,6,6567651513.2,62.952949347021445,111.9384736511718
cosinesched,sec20,7,2788661270.48125,41.07241220416104,103.10656223793175
nophys,seccos15,1,101287040.0,53.019836097128845,102.5780685125175
cosinesched,sec30,3,2087158064.4,71.63864193076981,107.44039743817665
cosinesched,seccos25,1,1933550363.2,52.22831577570148,99.3359017875255
nophys,sec10,7,395651364.6,150.75172187609982,113.57549023775584
cosinesched,sec25,4,4035380462.4,50.166124416327975,108.26886549534429
cosinesched,seccos25,8,2498222258.0875,68.26716239805299,102.52044296050126
cosinesched,seccos25,5,2535296914.1,44.37234997910158,101.75159135320844
nophys,sec20,5,992924488.35,62.91242358220762,107.9027533782414
nophys,sec15,7,1237346362.025,183.7042049374632,102.1991279640149
cosinesched,sec20,8,2330717260.2,34.59647858471577,105.85228748055238
nophys,seccos30,6,1475947783.5125,25.04471998555067,98.38673842789235
cosinesched,seccos30,4,2332257683.25,54.66319884240913,104.4239891096649
cosinesched,seccos30,6,2807013163.4375,37.0572447779186,101.23297342211028
cosinesched,sec10,4,6132767769.6,63.4660709965878,107.5474582642034
nophys,seccos25,1,127269997.6,47.31674952863089,103.94042627674992
nophys,sec25,1,49460832.7,56.16765135485125,102.47863450357788
nophys,sec15,1,78454383.2,51.63684323253064,106.15930097985613
cosinesched,sec10,1,4370328851.2,62.410999360370056,97.06709420476612
nophys,seccos10,3,457456980.75,34.4978741012399,104.36913688826424
cosinesched,sec25,6,4804837154.5875,37.69701594443653,105.59631462011876
cosinesched,sec10,7,6741689743.4875,68.93595965420317,104.98390331867093
nophys,sec10,4,24568547.45,59.72372433218343,103.282329467891
nophys,sec20,7,1790694725.5,82.26527532506215,105.59910912742284
nophys,seccos30,7,967019608.24375,36.11496605413082,101.54898522833471
cosinesched,sec15,8,4302717269.65,31.90434797594266,109.713968057486
cosinesched,seccos15,7,3906012704.7125,30.31302619041052,101.47533142750348
nophys,sec25,8,2415652282.39375,88.40219140714498,98.74072547826523
nophys,sec25,3,732945535.3867188,59.94308438756909,106.17015872947344
cosinesched,seccos20,2,2397365783.7,47.52340723783247,107.013322108508
cosinesched,seccos10,8,4625293348.11875,36.43820271329725,102.96911871508182
nophys,seccos10,2,120653094.8,34.39754440793945,106.44487940255767
cosinesched,seccos25,4,2363963600.0,41.16456203533674,105.1765039910758
cosinesched,sec15,7,4420475842.8125,48.80656434922554,108.03544751498544
nophys,seccos15,6,511396786.575,47.579774860619736,103.90295926469012
nophys,seccos20,5,1324112047.6,58.776064781323896,99.12055210392136
nophys,seccos15,4,431765119.025,35.831991516735016,104.84714539381991
cosinesched,sec15,1,2662635291.2,51.50743339672847,98.46051806443286
cosinesched,seccos10,5,4208990150.6375,38.19029948528394,103.15547047337856
cosinesched,sec30,2,1835334232.0,59.078179260229206,104.81091127413254
nophys,sec15,5,1897077266.925,76.96922505264581,99.18012082912348
nophys,seccos25,8,1063905267.8875,130.47615781088217,102.00195371093042
nophys,sec20,1,89476015.2,52.77134223885156,106.50073865829532
nophys,seccos25,4,641505433.0,62.19757956559378,98.1639934315671
nophys,seccos25,5,1035808565.9875,57.52923137749407,97.18916619869904
nophys,sec30,5,715695234.0,54.86493278365045,110.0616292663909
nophys,sec30,2,43033099.2,43.19976897121696,108.35376093055186
cosinesched,seccos25,7,2769605153.125,37.64398071693852,102.63746033213964
cosinesched,seccos30,5,2742974876.4375,40.58351649665131,102.91148935364772
nophys,sec10,2,49550312.94375,46.592035335800304,110.19415339042064
cosinesched,seccos10,6,4879017888.35,34.23051254843321,102.67281942097128
cosinesched,seccos20,1,2399556756.0,49.47711225587043,100.98921729751932
cosinesched,seccos15,2,3306052445.8,53.18745328804264,103.53660325260556
cosinesched,seccos15,8,3982323612.425,44.66985553260173,101.49172351955978
cosinesched,seccos10,7,4675786457.825,30.955544487069524,104.32358074265645
cosinesched,seccos20,8,3325321976.5,48.751964990307286,102.5200154942585
nophys,sec25,5,2159489849.625,48.89794002426383,97.42109436879488
