Physics,Sections,CFG,mse,var_diff
phys,secincr20,5,tensor(164002.6562),893.3601367676043
phys,sec25,7,tensor(658403.4375),214.3363042803569
nophys,sec9plus6,5,tensor(95022.9922),67.57025391582285
nophys,secincr20,7,tensor(66934.2109),348.35270619946857
phys,sec18plus7,8,tensor(1210534.7500),198.18706280144565
phys,sec25,8,tensor(731723.9375),39.44022090039168
phys,sec18plus7,6,tensor(1732176.3750),231.03487181263785
nophys,sec20,6,tensor(12916.3125),213.3109642841675
phys,sec18plus7,3,tensor(526833.2500),469.270906307041
nophys,sec15,4,tensor(197500.3281),83.03788857178922
nophys,sec18plus7,5,tensor(109230.0625),63.30562010992534
nophys,sec25,8,tensor(371130.8750),25.743205300017003
phys,sec20,6,tensor(429593.7188),328.7406416419005
nophys,secincr20,4,tensor(173441.1719),245.12166121355446
phys,sec20,4,tensor(911229.2500),221.11436277547358
phys,sec15,2,tensor(272057.0938),508.24942276553884
phys,sec9plus6,4,tensor(1596464.3750),606.725150975361
phys,sec25,4,tensor(564687.1875),280.4358836246736
phys,secincr20,6,tensor(585828.),486.54208217226795
phys,sec15,3,tensor(503639.3125),427.2363864120888
nophys,sec20,4,tensor(49238.3242),107.36358848889495
nophys,sec18plus7,4,tensor(139130.1406),44.77675683540934
nophys,secincr20,1,tensor(17404.9297),60.47092868109662
phys,sec25,2,tensor(350434.5938),576.701026557522
phys,sec18plus7,2,tensor(917304.6875),416.2504316033899
nophys,sec25,1,tensor(17097.4688),61.70659304464617
nophys,sec18plus7,3,tensor(161751.5781),57.23194657486151
phys,sec18plus7,7,tensor(1045206.1250),457.53841347743395
nophys,sec15,8,tensor(245550.0781),79.9053313697332
nophys,sec15,6,tensor(89788.4375),100.04695856435806
phys,sec15,1,tensor(180231.7812),385.21927867701663
phys,sec9plus6,2,tensor(728064.1250),767.7673902991272
phys,sec18plus7,1,tensor(627038.2500),542.601664549857
nophys,secincr20,3,tensor(54219.2500),143.25764622128673
nophys,sec9plus6,8,tensor(213032.3906),11.597056989736846
phys,secincr20,4,tensor(203113.2031),682.8463081124668
phys,sec9plus6,5,tensor(2693570.7500),411.53446379476395
nophys,sec15,7,tensor(103165.8984),110.06561016043564
nophys,sec20,8,tensor(29846.4473),183.2870576486129
phys,sec20,8,tensor(883162.8125),179.53591465060296
phys,sec20,2,tensor(162850.4688),375.72019608592
nophys,sec18plus7,7,tensor(71728.7344),53.23752446687822
nophys,sec25,7,tensor(324643.9375),27.909109087748554
phys,sec15,5,tensor(725792.2500),107.80299917977202
phys,secincr20,7,tensor(289138.2188),772.1715848024245
phys,sec15,6,tensor(602026.5000),161.95851871372878
nophys,sec25,3,tensor(105056.4531),72.42031166320108
nophys,sec15,5,tensor(80723.5000),113.52803296202129
phys,sec20,7,tensor(690704.7500),99.5870458789617
phys,sec9plus6,8,tensor(3221477.5000),230.6643838670977
nophys,sec20,1,tensor(11485.7686),59.03894770010025
phys,secincr20,3,tensor(191525.4531),604.8841525996421
nophys,sec9plus6,1,tensor(35992.4023),72.24181779002163
phys,sec15,4,tensor(511277.5312),650.1621113143269
nophys,sec25,6,tensor(123452.0078),70.45125137089781
nophys,sec20,3,tensor(6436.6377),64.63371356079037
phys,sec15,8,tensor(1623702.3750),55.590425325252355
phys,secincr20,2,tensor(52120.8828),429.3308872204333
phys,secincr20,1,tensor(43646.8359),395.96392181875126
nophys,sec18plus7,8,tensor(58238.1406),62.44262730798056
nophys,secincr20,5,tensor(68900.0781),278.4760661148393
nophys,sec20,7,tensor(3756.8975),138.6283648064357
phys,sec25,1,tensor(96445.3984),449.35142364419437
phys,sec20,5,tensor(789806.3750),220.2171204207458
phys,sec18plus7,4,tensor(902981.1875),607.2178979010245
nophys,sec25,4,tensor(195495.6875),80.0052150480808
nophys,secincr20,8,tensor(58248.7344),464.23220913496584
nophys,sec9plus6,7,tensor(145991.6875),49.7820309380572
nophys,sec9plus6,4,tensor(281637.6562),37.92750659899302
nophys,sec25,5,tensor(255155.0781),77.5795289984002
phys,sec9plus6,1,tensor(314611.1250),692.3345361918999
phys,sec9plus6,6,tensor(3862319.),190.33430877074866
nophys,sec15,2,tensor(65899.5625),54.74828088161041
nophys,sec18plus7,2,tensor(58613.1992),64.95048316637846
nophys,secincr20,6,tensor(147192.9375),312.86265336197084
phys,sec25,5,tensor(500035.0625),245.74321047430627
phys,secincr20,8,tensor(780015.3125),419.6881634891195
nophys,secincr20,2,tensor(66021.3125),85.38419527308628
phys,sec9plus6,3,tensor(929417.6875),638.0635061640556
nophys,sec9plus6,6,tensor(115557.4219),45.35461555344791
nophys,sec15,1,tensor(25750.6953),73.51464804138217
nophys,sec20,2,tensor(35755.0352),61.76333293842586
nophys,sec15,3,tensor(162395.5938),75.87177227509223
nophys,sec18plus7,1,tensor(42710.9688),70.46790573260408
nophys,sec18plus7,6,tensor(102764.3828),28.49051745895956
phys,sec20,3,tensor(49585.9219),256.8291146101054
nophys,sec9plus6,3,tensor(229010.5625),147.40827509605427
phys,sec20,1,tensor(6975.9341),217.64287097005348
nophys,sec25,2,tensor(8847.5469),133.57234253526545
phys,sec25,3,tensor(167880.2969),231.9471606267553
nophys,sec9plus6,2,tensor(63568.9219),133.87044626677118
nophys,sec20,5,tensor(16979.9727),274.11661459475147
phys,sec25,6,tensor(299557.5938),455.8337749537427
phys,sec15,7,tensor(87710.6641),407.3722697461273
phys,sec18plus7,5,tensor(181925.6406),273.6351518739108
phys,sec9plus6,7,tensor(308251.0312),346.72950311042297
phys,secincr20,5,tensor(22831.2559),308.87643282754084
phys,sec25,7,tensor(183666.3281),451.4935931143036
nophys,sec9plus6,5,tensor(337175.),99.06692426166838
nophys,secincr20,7,tensor(207285.2188),729.4506989357964
phys,sec18plus7,8,tensor(504179.9688),309.85724508086577
phys,sec25,8,tensor(229177.5312),574.4615290094666
phys,sec18plus7,6,tensor(373466.3750),202.78723937421697
nophys,sec20,6,tensor(111414.0703),325.41536923709094
phys,sec18plus7,3,tensor(67209.1016),387.1483770595385
nophys,sec15,4,tensor(49412.9297),241.0009870020981
nophys,sec18plus7,5,tensor(93374.9766),312.579651743917
nophys,sec25,8,tensor(137234.3750),504.76396167197197
phys,sec20,6,tensor(57591.2734),257.294698009145
