Model Type,Noise Steps,Sections,CFG,MSE,MSE_Norm,Var_Diff
phys10thbeam,700,15,3,60537.85961608887,0.00045143423940317005,38.1860178980006
phys10thbeam,850,9+6,5,112090.7822265625,0.0004267396786417521,70.35003953333145
nophys,850,45,7,118042.95813598632,0.0008543221432773862,85.33163065662835
nophys,850,45,1,5863.241104125977,3.426463481446262e-05,75.47650915828129
phys10th,1000,18+7,7,105151.84372177123,0.000862758274411135,30.62808934732227
phys10th,700,18+7,1,14530.235499572755,7.205288038676372e-05,98.0207750522923
nophys,1000,18+7,6,111909.44282073974,0.0011923759642741062,105.73162500428728
phys10th,700,45,5,231519.51759033202,0.000771497557980183,50.13839127982395
phys10thbeam,700,9+6,1,16388.583587646484,3.2690533453205715e-05,64.97880082107103
phys10th,850,15,1,11245.47158203125,3.3695076172080005e-05,101.78140119842121
nophys,850,9+6,1,9426.815240478516,3.6156778605800355e-05,84.2178159904025
phys10thbeam,1000,15,3,21399.02876586914,0.00044788219529436903,47.760165635815746
phys10thbeam,700,25,5,178975.6385559082,0.000605201334656158,11.306627093186744
nophys,1000,9+6,3,47908.50141601563,0.0004770510033267783,32.664304923729254
nophys,850,15,5,116807.36581192017,0.0006192618138811667,90.1506750286868
nophys,700,9+6,7,440569.0430664063,0.0004313659225772426,52.47293661087517
phys10th,700,25,3,171521.3974609375,0.0004252739545336226,60.10815230673694
phys10thbeam,700,25,7,186227.86462402344,0.0008063498986302875,3.884473727564506
phys10thbeam,850,18+7,1,7100.061289978027,3.523044952089549e-05,59.83766385968911
phys10th,700,18+7,3,122443.30552978515,0.0007594579612486996,69.75969720072878
phys10thbeam,1000,45,5,60277.05897216797,0.0005019783894567809,46.35120053123651
phys10th,850,15,3,16693.48713378906,7.630452164448797e-05,94.69229065350719
phys10thbeam,700,9+6,3,123389.15588378906,0.00043218433474976334,28.18522167029346
phys10thbeam,700,9+6,6,257745.1118789673,0.0005153881842488772,9.142842686204066
phys10th,850,9+6,6,112776.51638183594,0.00022148232528707013,177.63167768106044
nophys,850,45,6,99827.0913696289,0.0006015266784743289,107.02269569678985
phys10thbeam,700,25,6,181038.7686531067,0.0006591998469957616,6.166655621390466
nophys,850,18+7,5,204032.7240234375,0.00042857973676291294,62.19208325245626
phys10th,850,15,5,19794.43829345703,0.0005569843648117967,153.99299337488884
phys10thbeam,700,45,5,149184.038079834,0.0004929583469674981,19.648741139006997
nophys,850,45,3,48444.96507568359,0.0006675169557638583,89.40051514031197
nophys,700,25,7,347125.7194519043,0.0004987696034731926,70.30352531661444
phys10th,850,25,7,68725.3671459198,0.0006216318583028624,136.51540697919125
phys10th,850,25,3,29680.362394714357,0.00010134601034224033,79.98301217706391
phys10thbeam,1000,25,3,9097.12216796875,0.0004317664688642253,61.994061914242934
phys10thbeam,700,15,6,164827.78240203857,0.0005332604801878915,9.413437556259348
phys10thbeam,850,25,6,90481.8368648529,0.0005323749122908339,75.77572056469539
phys10thbeam,1000,25,1,7544.409765625,3.700633592416125e-05,50.80498803239649
nophys,1000,25,6,57883.102778625485,0.00088125745223806,231.8052069189643
phys10th,1000,18+7,6,78078.66629829406,0.0005457152537019283,20.549377834769043
phys10th,700,9+6,6,277239.11721725465,0.0005303826636009034,56.15907487282444
nophys,1000,15,7,89960.36962547302,0.0005520714235899504,271.6351848502341
phys10th,700,45,1,12452.24617919922,3.497223219710577e-05,95.40293492976767
phys10th,1000,45,3,20033.7283203125,0.0004323425085658528,37.3448184828143
nophys,700,18+7,6,332321.5314453125,0.00042804933600564253,65.61736934930886
nophys,1000,15,5,79269.14716796875,0.0004437662499185535,47.830005111947955
phys10th,850,9+6,5,123737.51079101562,0.000101280574563134,185.5551695041199
nophys,700,45,7,319269.01344299316,0.0005100009093439439,68.77662822987358
nophys,700,45,3,57374.65522460938,0.00042611346761987077,75.75247196459142
phys10thbeam,1000,18+7,6,61761.43415527344,0.0012804147100723639,27.415616146494777
phys10thbeam,850,15,5,5624.955279541015,0.00044901662258780564,140.5084770905098
phys10th,1000,25,5,143905.49324951172,0.00045687810834351696,42.371406526703765
phys10th,700,25,1,18557.70733642578,3.974088522227248e-05,94.87029429465926
nophys,700,25,1,15695.888848876953,3.1174234209174756e-05,63.100255123915375
nophys,1000,15,6,171330.84236221312,0.0005349276310880668,168.91766605307765
phys10th,850,25,1,13161.674826049804,3.1996303914638705e-05,85.01377796545715
phys10th,700,9+6,3,149964.2948852539,0.0006904815936650266,57.03603896975079
phys10thbeam,1000,18+7,5,36730.781646728516,0.0011079530147071637,32.63318375889649
nophys,1000,18+7,7,90964.6943145752,0.0012948950743520982,146.11724746518206
phys10th,700,18+7,7,301972.93144607544,0.0006136046755273128,70.26341011347232
nophys,700,15,1,22122.01321258545,3.6823162281507395e-05,78.0419226042691
phys10thbeam,1000,45,1,9567.288885498047,3.24826274663792e-05,53.79788866475358
nophys,850,15,6,94061.15727310181,0.0005926913912844611,144.65404718760055
phys10th,850,45,5,68387.30088500977,0.0003608413004258182,70.30329415401546
phys10th,1000,15,7,17072.6120677948,0.00047116613950493047,213.8413342468694
phys10thbeam,700,15,7,190251.98780670165,0.0006759575835530995,12.316734590880678
phys10thbeam,1000,18+7,7,69838.2685409546,0.001711200635327259,21.867121674269324
phys10th,850,45,6,69026.6980834961,0.000392732195177814,102.36681120041584
nophys,700,15,3,66479.83655395507,0.0004355577169008029,64.01995963730792
phys10th,850,15,6,18536.82710838318,0.0005494977775015286,185.8381950260902
nophys,700,15,7,228067.17733917237,0.0005196378877371898,69.21292175943115
nophys,1000,25,5,61821.7701965332,0.0004645645767595852,195.5393020430776
phys10thbeam,700,18+7,6,102832.60466003418,0.0004957574028594536,11.055368544478133
phys10th,700,9+6,7,349527.0613044739,0.0005638411748805083,53.389247191024445
nophys,1000,9+6,7,142233.3389175415,0.0015806487223017029,102.9563758895187
phys10th,850,18+7,3,55469.15532226562,0.0005359525794119691,117.55706599049282
nophys,850,18+7,3,83383.67236328125,0.0004224645850626985,78.89058544595022
phys10th,700,45,6,219698.5552734375,0.00045134887877793515,56.93257090151788
nophys,850,9+6,5,187300.5284790039,0.00043290141920806493,47.85330027314073
phys10thbeam,850,9+6,3,37848.38342285156,0.0006093586283896002,63.35054900722124
phys10thbeam,850,25,1,7789.214868164063,0.00016091115437575355,56.97717080363784
phys10th,700,15,5,288398.39782409667,0.0006757489582014387,43.2683850580962
nophys,700,45,5,178883.04010162354,0.00045693637785007015,58.37515533671169
phys10thbeam,700,45,6,164649.90980300904,0.0004951219470967771,15.235236355742666
nophys,700,15,5,144055.94589920045,0.0004598617131705396,66.20258474316154
phys10thbeam,1000,45,7,83185.81907653809,0.0006216252408194123,41.72993727645349
phys10th,850,9+6,3,60137.841552734375,0.00025146811894956046,125.53734679092614
phys10thbeam,850,45,3,14306.400677490234,0.0005185245880056754,63.42137935226931
nophys,1000,9+6,6,139808.03153381348,0.0011907421863725175,87.2142634927767
phys10thbeam,850,25,7,122535.88777503968,0.0006673299361864337,51.42515561658986
phys10th,850,18+7,6,109604.68935546876,0.0001695919316262007,183.24878063711122
