Unnamed: 0,Model Type,Noise Steps,Sections,CFG,FID,MSE,MSE_Norm,Var_Diff
120,phys_spec,700,45,1,118.09353529157772,12452.24617919922,3.497223219710577e-05,95.40293492976768
121,phys_spec,700,45,3,113.8248754720354,110203.90134277345,0.0006545556783748,70.31587604136328
122,phys_spec,700,45,5,116.54972972040572,231519.517590332,0.0007714975579801,50.13839127982395
123,phys_spec,700,45,6,115.15680834443609,219698.5552734375,0.0004513488787779,56.932570901517884
124,phys_spec,700,45,7,117.31258150887064,245286.6471420288,0.0005728784413804,55.09008652725767
125,phys_spec,850,15,1,118.70680529846004,11245.47158203125,3.3695076172080005e-05,101.7814011984212
126,phys_spec,850,15,3,127.24349146203107,16693.48713378906,7.630452164448797e-05,94.6922906535072
127,phys_spec,850,15,5,118.99652598175231,19794.43829345703,0.0005569843648117,153.99299337488884
128,phys_spec,850,15,6,115.81038361126924,18536.827108383182,0.0005494977775015,185.8381950260902
129,phys_spec,850,15,7,118.0207582685194,19502.20293960571,0.0004463806726562,221.2134542324701
130,phys_spec,850,9+6,1,116.81322005804932,12058.96469116211,3.515192083796137e-05,93.32858224653845
131,phys_spec,850,9+6,3,125.67726824585404,60137.841552734375,0.0002514681189495,125.53734679092614
132,phys_spec,850,9+6,5,113.64584251376864,123737.51079101562,0.0001012805745631,185.5551695041199
133,phys_spec,850,9+6,6,108.63570202865372,112776.51638183596,0.000221482325287,177.63167768106044
134,phys_spec,850,9+6,7,109.40759007761038,111187.24853515624,0.0003077229432165,241.6879704885461
135,phys_spec,850,25,1,119.61601922225697,13161.674826049804,3.1996303914638705e-05,85.01377796545715
136,phys_spec,850,25,3,116.64258999892785,29680.36239471436,0.0001013460103422,79.9830121770639
137,phys_spec,850,25,5,122.37635673388117,69769.97189025879,0.0002824558119755,65.6436614359286
138,phys_spec,850,25,6,115.39993374518863,71975.49638900757,0.0005071237186712,132.20211242710388
139,phys_spec,850,25,7,116.67608026017872,68725.36714591981,0.0006216318583028,136.51540697919123
140,phys_spec,850,18+7,1,114.46377499496548,13476.180212402343,3.4164855833296315e-05,98.23334238002111
141,phys_spec,850,18+7,3,122.51779120223132,55469.155322265615,0.0005359525794119,117.55706599049282
142,phys_spec,850,18+7,5,117.47382608081242,97467.1164794922,0.0006411346008462,144.54833114734862
143,phys_spec,850,18+7,6,113.26724561434828,109604.68935546876,0.0001695919316262,183.2487806371112
144,phys_spec,850,18+7,7,107.46574574516173,96851.30670166016,0.000258691581439,208.2824418101904
145,phys_spec,850,45,1,111.69116954140505,11132.208056640626,3.349749458720907e-05,95.55762485025612
146,phys_spec,850,45,3,121.32844268069474,27104.9466003418,0.0001392636058881,55.453659733888685
147,phys_spec,850,45,5,114.88269695457944,68387.30088500977,0.0003608413004258,70.30329415401546
148,phys_spec,850,45,6,112.93324324690349,69026.6980834961,0.0003927321951778,102.36681120041584
